time_steps,reward ep.,length
327680,0.24600000000000008,301.0
655360,0.8399999999999999,301.0
983040,1.482,301.0
1310720,1.982,301.0
1638400,2.672,301.0
1966080,3.3280000000000003,301.0
2293760,3.9200000000000004,301.0
2621440,4.055999999999999,301.0
2949120,4.568,301.0
3276800,4.958,301.0
3604480,5.22,298.6
3932160,5.356,281.2
4259840,5.544,277.2
4587520,6.047999999999999,293.6
4915200,6.397999999999999,296.4
5242880,6.461999999999999,288.0
5570560,6.886,298.0
5898240,6.886,292.0
6225920,6.822,279.6
6553600,7.463999999999999,298.0
6881280,7.038000000000001,274.8
7208960,7.840000000000001,301.0
7536640,7.994,301.0
7864320,8.05,295.6
8192000,8.126000000000001,292.0
8519680,8.225999999999999,286.4
8847360,8.703999999999999,301.0
9175040,8.898,300.2
9502720,7.917999999999999,274.4
9830400,8.546000000000001,286.4
10158080,8.788,286.4
10485760,8.836000000000002,290.0
10813440,8.876,301.0
11141120,9.358,301.0
11468800,9.228,301.0
11796480,8.726,279.0
12124160,8.181999999999999,263.2
12451840,8.45,262.4
12779520,7.885999999999998,248.0
13107200,9.336000000000002,301.0
13434880,8.121999999999998,256.6
13762560,8.632000000000001,271.6
14090240,9.282,293.2
14417920,9.594000000000003,301.0
14745600,9.756,301.0
15073280,9.718,298.8
15400960,9.211999999999998,278.8
15728640,9.97,299.6
16056320,9.806000000000001,301.0
16384000,9.138000000000002,269.8
16711680,10.270000000000001,296.4
17039360,10.064000000000002,290.8
17367040,9.622000000000002,285.6
17694720,10.028,296.0
18022400,9.962,293.6
18350080,9.998,296.8
18677760,7.149999999999999,219.2
19005440,10.41,300.4
19333120,10.276,301.0
19660800,9.712,275.8
19988480,10.418,299.2
20316160,10.168000000000001,288.4
20643840,10.616,300.4
