time_steps,reward ep.,length
327680,7.277910891230593,155.0
655360,68.24555371119095,530.0
983040,66.81717639633123,476.0
1310720,54.045231722947996,598.8
1638400,44.84954994466982,340.4
1966080,43.104119998327114,400.8
2293760,34.75581563478547,489.2
2621440,40.106340008411784,585.2
2949120,76.85904343121312,495.2
3276800,44.84425740724553,522.8
3604480,37.59114931601608,240.0
3932160,44.14539693067063,451.6
4259840,47.40247809675498,569.6
4587520,52.12601296212274,471.6
4915200,50.65675214566418,444.0
5242880,16.132121144750762,332.4
5570560,47.41293662046536,477.2
5898240,39.104008743312974,447.2
6225920,42.640348851404845,515.6
6553600,45.394596093772726,319.6
6881280,30.508537620888262,477.6
7208960,38.14700766861414,410.0
7536640,44.993771272855724,471.6
7864320,50.42474125118905,366.8
8192000,42.76048422130684,440.0
8519680,26.698373354277976,272.0
8847360,40.507841391526156,354.4
9175040,35.9663080419474,466.0
9502720,28.946807150522552,262.0
9830400,35.688036415636944,437.2
10158080,51.19217417577365,601.0
10485760,40.33644633396788,443.4
10813440,34.25392676966308,406.0
11141120,52.5552370462337,456.4
11468800,33.526791258255706,501.6
11796480,22.640992046054887,301.6
12124160,39.175905762937134,535.2
12451840,39.32708739107768,420.8
12779520,34.20106045751969,364.4
13107200,45.740699442086644,286.4
13434880,40.783025441443684,406.4
13762560,33.40852745973985,427.2
14090240,30.985587399753264,468.8
14417920,43.6018008869534,442.0
14745600,16.6997295074922,302.4
15073280,35.46453130267243,601.0
15400960,31.212695614656788,476.2
15728640,24.397430954062088,342.0
16056320,49.39287256530456,599.2
16384000,31.211206390972592,380.4
16711680,40.365642020454665,589.6
17039360,49.730181009797704,408.4
17367040,54.47267667261726,575.2
17694720,38.891584382567395,530.0
18022400,52.85395805364144,558.4
18350080,29.607499229310804,381.2
18677760,37.671023004673664,437.6
19005440,42.649326513173015,558.4
19333120,33.10947265430874,355.6
19660800,43.40923314406207,462.4
19988480,43.185714506461736,595.2
20316160,37.606030426728424,404.4
20643840,39.423115927418834,430.0
20971520,31.110605778251475,374.8
21299200,25.120053797698723,341.6
21626880,36.34980579285847,345.2
21954560,39.88651401787051,495.6
22282240,31.129580727782002,488.8
22609920,53.494877660306464,600.8
22937600,24.682775125516706,339.6
23265280,42.785367633767365,364.8
23592960,23.735627317061688,331.2
23920640,50.10161188253308,427.6
24248320,19.606046676968685,231.6
24576000,49.908150788497075,557.2
24903680,13.649114880325417,179.6
25231360,42.53610826581429,484.4
25559040,59.27053399522997,585.2
25886720,39.97492574770607,532.4
26214400,32.73957431479904,492.4
26542080,35.16147929416515,438.8
26869760,32.91005908564482,454.0
27197440,49.70661068111824,416.0
27525120,31.77415722185858,375.6
27852800,42.85780637868569,489.6
28180480,29.473738046410848,349.6
28508160,44.261385369785714,530.4
28835840,29.76993379216172,404.8
29163520,27.631395729503147,497.2
29491200,21.823649028977115,372.0
29818880,30.489902347442502,440.8
