time_steps,reward ep.,length
327680,0.44276989698410035,301.0
655360,0.7581234455108643,243.2
983040,1.2296841204166413,301.0
1310720,1.2792066216468811,301.0
1638400,1.3598136007785797,301.0
1966080,1.4206152617931367,301.0
2293760,1.4249682545661926,301.0
2621440,1.2905271351337433,268.2
2949120,1.4904447436332702,301.0
3276800,1.474962842464447,289.4
3604480,1.5008788645267486,301.0
3932160,1.5874991476535798,301.0
4259840,1.5045990109443665,301.0
4587520,1.5925079345703126,301.0
4915200,1.4752271234989167,301.0
5242880,1.5919914960861206,301.0
5570560,1.5129814505577088,301.0
