time_steps,reward ep.,length
327680,0.5059999999999999,42.6
655360,0.6260000000000001,41.6
983040,0.7599999999999998,40.8
1310720,0.8020000000000003,45.2
1638400,1.076,54.4
1966080,1.3159999999999996,61.2
2293760,1.3359999999999999,64.0
2621440,2.078,96.4
2949120,2.072,111.2
3276800,2.1660000000000004,88.4
3604480,2.5040000000000004,125.6
3932160,2.974,130.8
4259840,14.164000000000016,239.6
4587520,6.372000000000005,218.0
4915200,22.406,319.6
5242880,37.236000000000004,233.6
5570560,30.05800000000001,267.2
5898240,2.946,316.0
6225920,5.030000000000006,259.0
6553600,5.912000000000001,279.0
6881280,3.5239999999999996,207.2
7208960,3.232,300.8
7536640,36.82,300.6
7864320,16.659999999999986,303.0
8192000,145.22600000000006,374.4
8519680,2.912,173.6
8847360,198.71600000000012,240.4
9175040,48.46799999999999,312.4
9502720,72.91999999999997,370.4
9830400,96.01999999999997,354.2
10158080,76.50000000000001,244.6
10485760,11.232000000000005,331.6
10813440,111.61799999999998,354.4
11141120,27.002000000000002,259.6
11468800,212.72599999999997,176.4
11796480,62.622,304.4
12124160,4.164,304.4
12451840,46.588,376.4
12779520,3.625999999999995,318.0
13107200,95.45,338.8
13434880,11.581999999999999,342.8
13762560,18.326,395.4
14090240,32.817999999999984,306.6
14417920,23.853999999999996,305.0
14745600,3.3240000000000003,321.4
15073280,3.3020000000000023,303.2
15400960,9.711999999999977,262.6
15728640,134.052,363.0
16056320,184.624,247.2
16384000,66.00800000000001,247.2
16711680,71.83399999999997,204.0
17039360,26.485999999999997,286.0
17367040,105.51800000000003,317.2
17694720,39.50599999999999,308.0
18022400,113.15000000000005,314.0
18350080,92.14999999999999,367.8
18677760,109.75000000000003,313.4
19005440,254.954,401.0
19333120,19.934000000000005,317.0
19660800,95.40400000000002,357.2
19988480,69.20600000000003,218.4
20316160,7.551999999999997,362.8
20643840,20.89199999999999,301.6
20971520,96.46999999999996,368.4
21299200,2.8080000000000003,293.6
21626880,165.85599999999997,277.6
21954560,4.7719999999999985,340.8
22282240,57.94799999999999,357.2
22609920,50.21199999999998,371.6
22937600,126.06799999999998,367.6
23265280,36.16,294.0
23592960,6.855999999999992,243.2
23920640,9.661999999999999,247.6
24248320,64.16800000000002,214.8
24576000,196.3559999999999,242.8
24903680,272.504,288.2
25231360,9.920000000000002,204.8
25559040,47.724000000000004,341.0
25886720,148.184,386.8
26214400,130.442,264.6
26542080,419.70200000000006,353.8
26869760,274.8319999999999,263.2
27197440,184.56999999999996,320.4
27525120,79.45400000000001,296.0
27852800,213.74399999999997,309.2
28180480,247.41800000000003,387.0
28508160,258.134,366.2
28835840,440.6919999999999,362.0
29163520,240.00399999999996,386.4
29491200,32.47,401.0
29818880,58.67800000000002,380.2
