time_steps,reward ep.,length
327680,-0.4279999999999994,99.4
655360,-0.005999999999999872,301.0
983040,-0.013999999999999702,301.0
1310720,0.5779999999999997,88.8
1638400,0.5879999999999999,64.0
1966080,0.5999999999999996,61.6
2293760,0.5820000000000001,58.0
2621440,0.6460000000000001,57.6
2949120,0.6980000000000001,58.0
3276800,0.7200000000000003,57.2
3604480,0.7260000000000002,56.8
3932160,0.7679999999999996,57.6
4259840,0.85,59.6
4587520,0.9620000000000001,68.8
4915200,1.0599999999999998,76.8
5242880,1.1039999999999996,78.8
5570560,1.172,80.4
5898240,1.214,80.8
6225920,1.3399999999999999,90.4
6553600,1.4700000000000002,106.0
6881280,1.266,77.2
7208960,1.0559999999999998,69.2
7536640,1.3039999999999998,82.0
7864320,1.4560000000000002,91.6
8192000,1.5100000000000002,94.0
8519680,1.7400000000000002,110.8
8847360,1.6720000000000002,106.8
9175040,1.6300000000000001,98.0
9502720,1.7759999999999998,106.4
9830400,1.902,116.8
10158080,1.7639999999999998,112.4
10485760,1.6320000000000001,105.2
10813440,1.406,112.0
11141120,1.736,106.8
11468800,2.0260000000000002,126.0
11796480,1.816,107.2
12124160,1.6580000000000001,98.0
12451840,2.25,144.4
12779520,2.15,130.0
13107200,1.9419999999999997,121.6
13434880,1.9919999999999998,125.2
13762560,2.0740000000000003,134.4
14090240,1.6699999999999995,96.8
14417920,1.8959999999999997,109.6
14745600,1.8679999999999999,111.6
15073280,1.9539999999999995,110.4
15400960,2.0940000000000003,120.8
15728640,1.952,117.2
16056320,1.548,90.4
16384000,2.2520000000000002,136.0
16711680,2.0200000000000005,148.0
17039360,2.084,128.4
17367040,1.8699999999999997,112.8
17694720,1.906,106.4
18022400,1.8279999999999998,106.4
18350080,2.2199999999999998,135.6
18677760,1.964,119.2
19005440,2.404,170.4
19333120,1.8800000000000003,104.0
19660800,2.802,201.2
19988480,2.2,128.8
20316160,2.35,137.2
20643840,2.236,134.0
20971520,2.56,152.4
21299200,2.12,128.0
21626880,1.8539999999999999,102.8
21954560,2.146,138.0
22282240,2.484,145.2
22609920,2.5439999999999996,160.0
22937600,1.75,96.8
23265280,2.588,154.4
23592960,1.8240000000000003,103.2
23920640,2.512,156.0
24248320,2.19,126.0
24576000,2.1059999999999994,118.8
24903680,2.0580000000000003,113.2
25231360,2.1020000000000003,114.0
25559040,2.3160000000000003,143.6
25886720,2.4200000000000004,135.2
26214400,2.594,158.8
26542080,2.956,176.0
26869760,2.6159999999999997,160.4
27197440,1.9579999999999997,110.8
27525120,2.144,114.4
27852800,2.1539999999999995,120.8
28180480,2.8500000000000005,168.8
28508160,1.816,100.8
28835840,2.266,122.8
29163520,2.648,149.2
29491200,2.2380000000000004,119.2
29818880,1.864,96.4
